id,date,total,employee
156,2023-03-05 11:58:07,0,1
157,2022-11-09 15:07:56,0,1
158,2023-08-09 06:37:11,0,
159,2023-05-07 02:06:07,0,2
160,2023-10-17 09:20:55,0,1
161,2023-03-22 04:41:04,0,3
162,2023-03-27 11:05:23,0,1
163,2023-05-11 09:54:21,0,1
164,2023-04-26 12:22:03,0,3
165,2023-06-11 23:22:39,0,
166,2023-04-08 06:33:19,0,2
167,2023-06-26 11:55:06,0,2
168,2023-06-09 14:31:53,0,
169,2023-03-13 02:12:14,0,2
170,2023-02-19 05:40:22,0,2
171,2023-08-12 13:40:11,0,3
172,2023-09-14 06:26:16,0,3
173,2022-10-29 21:31:10,0,
174,2022-12-03 13:26:26,0,1
175,2022-11-18 14:32:02,0,1
176,2023-03-27 17:34:24,0,2
177,2023-09-18 16:19:03,0,3
178,2022-11-28 07:04:20,0,2
179,2023-09-09 01:28:41,0,1
180,2023-07-13 04:15:14,0,3
181,2023-04-28 08:25:59,0,2
182,2022-12-09 18:11:37,0,1
183,2023-02-14 11:35:08,0,
184,2023-06-24 14:37:30,0,
185,2023-03-29 09:56:50,0,
186,2023-08-16 19:41:17,0,
187,2022-12-01 02:22:25,0,
188,2022-12-12 14:33:45,0,2
189,2023-04-09 05:12:45,0,3
190,2023-08-21 12:21:26,0,1
191,2023-06-03 06:32:26,0,2
192,2023-07-22 15:26:19,0,
193,2023-09-01 14:28:51,0,3
194,2023-06-25 09:22:33,0,3
195,2022-12-08 04:47:50,0,3
196,2023-03-09 00:03:20,0,2
197,2022-11-15 20:32:44,0,
198,2023-06-14 06:19:14,0,1
199,2023-08-27 23:53:40,0,
200,2023-10-24 12:18:35,0,2
201,2023-05-19 03:06:59,0,2
202,2023-03-11 07:35:00,0,3
203,2022-11-08 21:16:08,0,2
204,2023-09-02 11:44:21,0,
205,2023-05-30 12:00:08,0,
206,2023-10-06 22:05:20,0,3
207,2023-03-04 04:34:54,0,1
208,2023-05-27 09:04:50,0,1
209,2023-06-22 06:04:47,0,1
210,2022-11-25 06:13:13,0,
211,2023-01-29 19:00:19,0,1
212,2023-01-29 21:41:57,0,3
213,2023-01-06 20:16:30,0,3
214,2023-01-06 04:42:20,0,1
215,2023-10-15 14:02:31,0,3
216,2023-10-17 07:36:06,0,1
217,2023-02-19 01:00:34,0,3
218,2023-08-29 02:16:32,0,2
219,2023-07-17 15:48:26,0,1
220,2023-02-06 17:20:42,0,1
221,2023-07-29 18:07:02,0,2
222,2022-12-01 21:39:28,0,1
223,2023-08-23 11:27:16,0,
224,2022-11-28 04:12:33,0,
225,2023-01-13 04:35:52,0,3
226,2023-09-16 02:24:16,0,
227,2023-04-04 09:22:08,0,1
228,2023-05-05 02:48:05,0,
229,2023-02-03 02:46:23,0,2
230,2023-05-07 14:20:36,0,
231,2023-01-03 02:26:19,0,3
232,2023-07-22 20:32:59,0,1
233,2022-10-28 19:16:18,0,3
234,2023-03-15 22:47:57,0,1
235,2023-05-28 10:03:26,0,3
236,2023-03-01 01:07:53,0,3
237,2023-03-14 21:11:01,0,2
238,2023-01-07 10:25:45,0,
239,2023-10-18 09:09:25,0,1
240,2023-08-22 01:28:12,0,3
241,2023-05-31 01:33:35,0,
242,2023-01-30 20:21:26,0,2
243,2023-02-02 04:51:29,0,1
244,2023-05-18 23:52:46,0,2
245,2023-07-14 12:53:11,0,
246,2023-05-26 06:59:58,0,2
247,2023-01-22 19:12:17,0,
248,2023-01-13 09:38:45,0,2
249,2022-12-03 03:18:33,0,2
250,2023-01-02 16:14:28,0,
251,2023-05-06 04:30:47,0,
252,2023-01-20 05:47:35,0,3
253,2023-06-01 05:01:27,0,3
254,2022-10-29 04:18:11,0,2
255,2023-03-19 03:31:56,0,
256,2022-11-17 15:59:25,0,1
257,2023-04-28 22:08:24,0,1
258,2023-05-12 10:45:03,0,3
259,2022-11-14 12:42:09,0,1
260,2023-02-05 14:41:12,0,1
261,2023-01-28 12:39:58,0,2
262,2022-12-23 06:44:00,0,
263,2023-02-01 16:31:46,0,1
264,2023-03-17 03:29:54,0,2
265,2023-07-03 10:49:36,0,2
266,2023-02-01 02:26:36,0,3
267,2022-11-27 13:29:06,0,
268,2023-05-31 17:11:33,0,
269,2022-11-13 18:22:56,0,1
270,2022-10-30 02:54:48,0,3
271,2023-09-29 02:05:09,0,
272,2023-05-06 03:46:16,0,2
273,2023-10-22 09:29:37,0,3
274,2022-12-08 02:36:13,0,
275,2022-10-29 11:26:09,0,1
276,2022-12-10 14:56:07,0,3
277,2023-10-22 04:22:26,0,1
278,2022-11-03 03:49:40,0,3
279,2022-12-12 16:17:48,0,1
280,2023-06-26 04:36:53,0,
281,2023-05-07 17:12:12,0,
282,2023-09-21 02:11:08,0,1
283,2022-11-20 19:37:18,0,2
284,2022-11-11 09:10:55,0,
285,2022-11-03 08:17:55,0,1
286,2023-07-06 15:16:17,0,3
287,2023-08-30 22:34:14,0,2
288,2023-05-06 10:13:21,0,1
289,2022-11-14 20:44:07,0,
290,2023-09-09 14:31:50,0,2
291,2023-09-21 06:08:17,0,
292,2023-08-29 05:04:16,0,
293,2023-01-14 12:32:28,0,
294,2022-12-12 21:40:56,0,2
295,2022-12-15 18:23:47,0,1
296,2023-02-01 05:59:49,0,3
297,2023-04-03 21:22:26,0,1
298,2022-10-29 20:46:11,0,3
299,2022-11-18 13:13:18,0,
300,2022-12-22 00:43:01,0,
301,2023-07-22 05:39:46,0,3
302,2022-11-03 11:16:20,0,1
303,2023-07-27 15:56:30,0,3
304,2022-11-30 15:59:47,0,2
305,2023-08-12 12:20:48,0,3
306,2022-12-20 00:02:02,0,3
307,2023-08-12 15:44:58,0,2
308,2023-01-05 08:25:39,0,
309,2023-01-26 02:29:35,0,2
310,2022-11-10 19:46:55,0,
311,2023-01-29 15:52:23,0,3
312,2023-07-17 13:54:10,0,1
313,2022-12-21 00:00:18,0,3
314,2023-01-23 05:11:49,0,1
315,2023-07-01 01:31:29,0,2
316,2023-07-09 15:38:31,0,3
317,2022-10-28 19:59:32,0,3
318,2023-08-01 07:53:26,0,3
319,2023-02-10 11:27:37,0,3
320,2023-09-27 04:14:10,0,1
321,2023-05-11 21:13:44,0,2
322,2023-06-06 02:37:22,0,1
323,2023-04-26 15:21:10,0,2
324,2023-10-01 02:43:35,0,3
325,2023-05-08 12:15:56,0,
326,2023-09-21 21:57:44,0,3
327,2023-05-30 16:25:48,0,2
328,2023-08-15 01:18:12,0,
329,2023-10-21 23:47:10,0,3
330,2022-12-18 18:58:35,0,
331,2023-10-11 16:57:12,0,3
332,2023-09-15 05:56:16,0,
333,2022-11-02 17:40:02,0,1
334,2022-11-12 00:01:43,0,
335,2023-05-24 05:58:02,0,1
336,2023-03-28 05:04:38,0,
337,2023-06-22 03:20:55,0,2
338,2023-08-08 22:52:49,0,3
339,2023-06-10 04:07:08,0,
340,2023-05-02 01:33:48,0,3
341,2023-05-26 15:24:09,0,1
342,2023-08-07 14:56:36,0,
343,2023-02-16 13:03:49,0,
344,2023-05-30 13:23:49,0,1
345,2022-11-29 20:29:21,0,
346,2023-09-22 10:12:58,0,1
347,2023-07-02 08:05:52,0,
348,2022-11-09 02:25:54,0,3
349,2022-12-06 13:54:57,0,3
350,2022-12-04 07:43:03,0,1
351,2023-07-05 06:52:13,0,1
352,2023-07-08 10:53:54,0,2
353,2023-07-19 12:31:37,0,2
354,2023-08-04 15:42:33,0,1
355,2022-11-07 11:58:21,0,1
356,2023-08-21 17:17:16,0,
357,2023-07-20 09:13:49,0,
358,2023-06-07 06:01:14,0,3
359,2023-10-15 19:14:15,0,2
360,2023-02-14 22:02:10,0,2
361,2023-06-29 09:25:06,0,1
362,2022-11-27 04:06:29,0,1
363,2023-05-09 16:30:39,0,2
364,2023-09-24 03:53:26,0,1
365,2023-10-03 14:23:58,0,2
366,2023-08-22 22:14:45,0,1
367,2023-05-13 15:56:28,0,3
368,2022-12-12 13:45:41,0,3
369,2023-09-04 11:50:10,0,3
370,2023-09-06 06:00:13,0,
371,2023-03-03 02:23:24,0,3
372,2023-01-27 20:12:42,0,
373,2022-11-27 01:36:08,0,3
374,2022-12-08 06:03:36,0,3
375,2023-07-10 09:21:22,0,2
376,2023-10-28 06:23:31,0,1
377,2022-12-04 11:08:14,0,2
378,2022-12-06 17:22:17,0,
379,2022-12-12 06:13:24,0,2
380,2023-08-14 04:30:16,0,
381,2023-08-13 06:28:06,0,3
382,2022-11-08 23:34:16,0,
383,2023-06-18 18:06:17,0,2
384,2023-02-03 23:14:01,0,3
385,2023-04-20 17:46:44,0,1
386,2023-06-04 09:22:55,0,2
387,2023-07-04 02:06:18,0,3
388,2023-03-21 05:15:31,0,1
389,2023-02-02 22:54:01,0,2
390,2023-10-09 15:55:38,0,3
391,2022-12-17 14:39:44,0,2
392,2022-12-08 13:01:58,0,1
393,2023-08-21 10:10:58,0,1
394,2023-06-19 15:08:38,0,3
395,2023-08-25 11:55:11,0,3
396,2023-07-17 13:17:08,0,3
397,2022-12-22 00:31:59,0,1
398,2022-12-07 00:51:46,0,2
399,2023-02-28 12:24:22,0,
400,2023-08-14 03:36:58,0,
401,2023-05-27 04:24:41,0,2
402,2023-03-07 13:39:21,0,
403,2023-07-16 19:17:14,0,
404,2023-08-05 00:42:30,0,3
405,2023-06-29 04:03:14,0,
406,2023-07-24 16:02:52,0,
407,2023-02-25 23:38:16,0,
408,2023-08-02 21:00:53,0,1
409,2023-08-17 18:05:48,0,1
410,2023-10-21 17:39:52,0,1
411,2023-01-15 13:21:19,0,2
412,2023-03-12 21:12:22,0,2
413,2023-08-29 23:27:09,0,3
414,2023-05-10 06:16:12,0,1
415,2023-06-27 16:44:17,0,3
416,2023-01-09 21:37:42,0,3
417,2023-04-22 07:38:34,0,2
418,2023-06-27 23:00:22,0,
419,2023-02-20 12:37:56,0,
420,2022-11-08 16:50:19,0,3
421,2023-05-21 11:04:27,0,1
422,2023-09-01 08:34:16,0,2
423,2023-05-20 01:20:27,0,
424,2022-12-15 03:24:52,0,1
425,2022-12-10 03:44:37,0,3
426,2023-07-17 14:56:05,0,1
427,2023-04-02 19:16:39,0,3
428,2023-07-21 15:07:43,0,2
429,2022-11-08 11:39:44,0,1
430,2023-03-02 12:42:13,0,
431,2022-12-27 15:39:51,0,2
432,2023-05-05 21:13:44,0,3
433,2022-11-19 01:13:33,0,1
434,2023-07-29 01:20:21,0,2
435,2023-06-15 00:51:40,0,
436,2023-05-20 23:58:48,0,3
437,2023-08-24 23:56:29,0,1
438,2023-05-06 23:08:42,0,2
439,2023-04-23 05:26:52,0,3
440,2023-01-16 17:21:59,0,2
441,2023-07-01 11:56:32,0,1
442,2023-10-23 21:11:34,0,3
443,2023-07-30 16:37:26,0,
444,2023-08-01 15:44:55,0,1
445,2023-01-17 06:07:02,0,2
446,2023-06-10 07:32:05,0,3
447,2022-11-13 04:05:30,0,1
448,2022-11-01 07:02:01,0,
449,2023-08-22 13:31:40,0,2
450,2023-04-01 00:43:56,0,1
451,2023-06-09 11:37:17,0,
452,2023-05-12 19:44:48,0,
453,2023-04-03 06:50:35,0,2
454,2023-02-17 13:58:35,0,3
455,2023-07-17 06:42:08,0,1
456,2023-01-30 18:48:22,0,2
457,2023-07-11 10:16:50,0,3
458,2023-02-26 00:12:00,0,2
459,2023-08-12 23:39:51,0,2
460,2023-10-08 06:16:02,0,3
461,2023-04-03 22:10:19,0,
462,2023-10-22 19:57:01,0,
463,2023-09-18 21:47:06,0,1
464,2023-06-07 12:21:21,0,1
465,2023-08-31 04:18:48,0,1
466,2023-06-18 04:56:24,0,1
467,2022-11-24 09:33:35,0,3
468,2023-06-28 18:15:13,0,1
469,2022-11-03 05:11:26,0,
470,2023-07-01 08:26:53,0,3
471,2023-02-15 15:58:06,0,2
472,2022-11-21 01:07:48,0,
473,2023-05-18 11:54:26,0,2
474,2023-04-10 06:23:28,0,2
475,2023-09-08 17:09:28,0,2
476,2023-10-13 04:34:29,0,2
477,2023-02-18 11:54:06,0,
478,2023-02-19 01:49:37,0,
479,2023-06-13 04:12:09,0,3
480,2022-11-17 12:26:12,0,3
481,2023-08-19 17:14:58,0,3
482,2023-02-25 11:07:05,0,3
483,2023-08-16 18:37:59,0,2
484,2023-09-27 11:37:29,0,3
485,2022-12-09 22:59:40,0,3
486,2023-05-03 00:28:55,0,3
487,2023-09-11 22:42:18,0,3
488,2023-03-31 01:15:44,0,3
489,2022-12-03 05:09:11,0,3
490,2023-03-02 15:30:03,0,3
491,2023-06-21 21:10:53,0,3
492,2023-07-17 00:31:17,0,
493,2023-10-18 08:52:10,0,
494,2023-03-18 14:45:26,0,1
495,2023-01-06 01:39:51,0,2
496,2023-07-06 23:31:50,0,1
497,2023-07-29 09:11:05,0,3
498,2023-06-02 09:34:13,0,1
499,2023-08-11 16:45:17,0,2
500,2023-04-08 17:26:05,0,1
501,2023-04-10 13:47:22,0,2
502,2023-01-29 12:52:54,0,2
503,2022-12-26 09:01:24,0,2
504,2023-04-06 21:08:02,0,1
505,2023-04-25 12:19:19,0,2
506,2022-11-17 04:37:50,0,1
507,2023-04-14 08:12:01,0,
508,2023-07-15 15:14:20,0,
509,2022-12-01 23:48:13,0,
510,2023-07-19 18:58:42,0,2
511,2023-01-10 20:23:30,0,2
512,2023-08-09 22:34:06,0,
513,2023-06-09 18:47:23,0,3
514,2022-10-28 21:24:26,0,3
515,2023-07-02 07:51:17,0,3
516,2023-09-01 06:51:03,0,2
517,2023-02-06 05:49:28,0,1
518,2023-09-30 23:43:54,0,
519,2023-08-11 13:56:12,0,
520,2023-04-25 14:39:41,0,3
521,2022-10-30 11:54:44,0,3
522,2022-11-17 02:18:37,0,3
523,2023-05-26 13:18:54,0,2
524,2023-10-01 13:48:02,0,
525,2023-10-13 10:44:29,0,1
526,2023-10-28 15:12:59,0,
527,2023-05-25 15:20:31,0,2
528,2023-05-04 11:14:20,0,2
529,2023-02-11 03:16:17,0,1
530,2023-02-27 10:39:52,0,3
531,2022-11-30 17:30:24,0,
532,2023-05-24 15:31:41,0,2
533,2023-01-26 03:41:38,0,3
534,2023-02-02 07:00:52,0,
535,2023-03-23 18:30:19,0,3
536,2023-04-21 08:35:55,0,1
537,2022-11-09 20:08:44,0,1
538,2023-01-18 09:15:02,0,1
539,2022-12-21 10:33:25,0,3
540,2023-05-24 18:05:07,0,
541,2022-10-31 02:01:16,0,3
542,2023-04-21 08:42:45,0,2
543,2023-10-28 02:43:24,0,3
544,2023-02-27 01:55:50,0,3
545,2023-06-15 23:07:45,0,3
546,2023-05-28 21:35:50,0,2
547,2023-08-04 05:49:15,0,
548,2023-04-07 06:05:08,0,
549,2023-06-20 07:47:47,0,3
550,2023-10-17 03:06:29,0,3
551,2023-01-21 13:21:48,0,2
552,2023-09-03 16:38:42,0,3
553,2023-10-27 11:26:05,0,1
554,2022-11-04 13:54:31,0,2
555,2023-03-02 20:48:58,0,1
556,2022-11-16 00:50:50,0,2
557,2023-06-17 22:46:29,0,
558,2022-11-01 23:34:28,0,2
559,2023-06-13 04:20:11,0,2
560,2023-08-05 06:15:14,0,
561,2023-04-22 16:17:28,0,1
562,2023-07-09 06:26:53,0,3
563,2023-05-28 23:33:41,0,1
564,2023-05-20 13:18:04,0,3
565,2023-02-15 13:55:28,0,2
566,2023-07-22 23:16:12,0,2
567,2023-10-15 06:15:22,0,2
568,2023-03-10 10:54:48,0,
569,2023-05-17 11:09:04,0,1
570,2022-11-11 19:55:26,0,3
571,2023-03-08 21:36:17,0,
572,2023-02-26 22:41:17,0,3
573,2023-04-18 22:06:19,0,1
574,2023-05-02 17:31:37,0,
575,2023-01-08 01:16:22,0,
576,2023-04-14 01:25:15,0,3
577,2023-07-15 11:14:46,0,2
578,2023-06-10 17:51:08,0,1
579,2023-10-16 01:52:29,0,1
580,2023-07-31 23:29:31,0,
581,2023-09-15 16:27:50,0,2
582,2023-07-10 02:27:21,0,1
583,2023-02-03 18:12:19,0,
584,2023-02-25 19:39:52,0,3
585,2023-06-15 12:44:59,0,2
586,2023-05-27 10:19:34,0,2
587,2023-08-31 12:41:21,0,3
588,2022-11-15 17:48:31,0,1
589,2023-01-20 09:24:44,0,
590,2023-06-03 22:24:41,0,3
591,2023-07-14 16:03:09,0,2
592,2022-11-13 09:14:34,0,3
593,2023-06-11 21:45:15,0,3
594,2022-12-19 08:00:53,0,
595,2023-04-29 03:47:07,0,3
596,2022-12-03 07:09:44,0,
597,2022-11-26 02:18:05,0,3
598,2023-03-10 01:44:49,0,1
599,2023-05-17 07:21:39,0,3
600,2022-10-30 18:31:27,0,3
601,2023-05-31 19:31:53,0,2
602,2023-01-23 15:49:18,0,3
603,2023-09-03 20:14:00,0,3
604,2023-07-25 20:49:04,0,3
605,2023-04-12 18:31:10,0,
606,2023-10-17 23:09:13,0,3
607,2023-01-06 01:23:23,0,3
608,2023-08-18 06:56:38,0,
609,2023-10-04 14:56:11,0,2
610,2023-04-01 15:44:08,0,
611,2023-02-07 02:03:08,0,2
612,2023-10-11 19:53:11,0,
613,2023-01-15 19:51:45,0,3
614,2023-03-24 22:08:37,0,
615,2023-04-27 14:11:49,0,2
616,2023-07-08 18:01:28,0,
617,2023-06-02 19:46:57,0,
618,2023-03-13 03:19:56,0,
619,2022-12-03 01:09:14,0,
620,2023-06-27 04:38:12,0,
621,2023-07-12 17:24:18,0,
622,2023-01-09 23:29:09,0,2
623,2022-12-23 22:13:46,0,
624,2023-03-09 02:52:22,0,2
625,2023-09-09 05:30:01,0,3
626,2023-07-22 19:44:39,0,1
627,2023-05-03 22:03:32,0,
628,2023-09-29 03:18:19,0,
629,2023-01-07 06:50:22,0,3
630,2023-07-01 19:10:21,0,1
631,2022-12-25 23:30:01,0,1
632,2023-03-31 08:46:24,0,3
633,2023-08-21 17:35:45,0,2
634,2023-03-30 05:24:52,0,1
635,2023-06-02 20:27:44,0,3
636,2023-07-02 02:46:01,0,
637,2023-08-11 10:04:48,0,1
638,2022-12-28 11:18:12,0,2
639,2023-06-24 00:47:06,0,3
640,2022-12-18 04:47:36,0,2
641,2023-07-27 02:31:12,0,3
642,2022-11-23 01:32:22,0,2
643,2023-03-20 23:39:29,0,
644,2023-02-16 20:11:32,0,3
645,2023-03-21 05:54:00,0,2
646,2023-07-01 04:17:27,0,2
647,2023-07-11 14:52:03,0,3
648,2023-04-16 03:31:56,0,1
649,2022-12-19 15:21:43,0,
650,2023-08-17 09:08:20,0,3
651,2023-05-01 17:13:32,0,2
652,2023-04-01 18:56:18,0,1
653,2022-11-18 22:17:44,0,
654,2023-06-17 19:18:14,0,1
655,2023-10-04 00:20:09,0,
656,2023-10-15 04:37:19,0,
657,2023-09-02 16:12:14,0,1
658,2023-08-01 00:51:07,0,3
659,2023-01-07 04:26:00,0,2
660,2023-04-10 10:35:03,0,1
661,2023-08-30 17:23:58,0,1
662,2022-12-06 17:31:13,0,1
663,2022-11-17 09:32:04,0,2
664,2023-10-28 13:36:59,0,3
665,2022-12-06 16:17:38,0,3
666,2023-02-11 11:08:35,0,3
667,2023-08-13 05:34:20,0,2
668,2022-12-19 00:16:20,0,3
669,2023-09-03 05:34:46,0,2
670,2023-02-14 16:14:07,0,
671,2022-11-03 10:46:04,0,3
672,2023-02-12 23:09:34,0,3
673,2023-07-02 09:58:00,0,
674,2023-02-02 23:43:52,0,
675,2023-05-13 22:45:59,0,3
676,2022-11-02 22:06:35,0,3
677,2023-10-09 17:20:23,0,
678,2023-04-04 07:43:14,0,
679,2023-08-24 09:31:18,0,2
680,2023-05-05 13:13:34,0,1
681,2023-10-22 11:25:27,0,3
682,2023-08-13 07:27:58,0,1
683,2023-07-04 18:32:03,0,1
684,2023-08-30 17:06:50,0,2
685,2023-07-20 02:44:28,0,
686,2023-04-26 11:59:46,0,1
687,2023-07-04 06:30:14,0,1
688,2023-10-04 20:21:39,0,1
689,2023-04-16 01:01:16,0,
690,2023-06-25 01:50:22,0,
691,2023-09-20 09:13:13,0,3
692,2023-10-01 18:00:26,0,2
693,2023-10-10 20:23:36,0,3
694,2022-10-31 07:49:18,0,2
695,2023-07-18 22:02:28,0,3
696,2023-06-27 05:22:53,0,3
697,2023-02-15 23:34:43,0,3
698,2023-05-06 02:41:46,0,3
699,2023-10-18 07:50:03,0,
700,2023-03-31 15:50:40,0,
701,2023-05-12 11:07:46,0,3
702,2023-10-11 21:12:29,0,1
703,2023-08-22 20:24:51,0,2
704,2023-06-27 05:16:42,0,2
705,2022-11-22 02:38:17,0,3
706,2022-11-28 05:45:11,0,3
707,2023-05-12 11:09:23,0,1
708,2023-09-11 16:58:27,0,2
709,2023-08-19 16:27:50,0,2
710,2023-05-17 14:17:56,0,1
711,2023-03-08 23:16:22,0,2
712,2022-12-30 14:03:30,0,1
713,2022-12-03 17:23:43,0,3
714,2023-04-04 06:17:52,0,
715,2023-04-28 13:12:23,0,1
716,2023-06-17 14:07:50,0,
717,2022-12-22 05:14:25,0,2
718,2023-05-26 19:12:41,0,2
719,2022-12-19 14:25:47,0,3
720,2023-10-26 22:28:37,0,3
721,2023-04-23 14:07:08,0,2
722,2023-08-07 14:14:55,0,1
723,2022-11-12 13:34:22,0,
724,2023-03-16 22:33:09,0,1
725,2023-06-13 13:22:15,0,
726,2023-05-31 16:42:07,0,
727,2023-06-21 22:33:25,0,3
728,2022-12-16 12:24:36,0,2
729,2023-10-02 02:20:54,0,2
730,2023-01-11 00:53:15,0,3
731,2022-12-02 01:09:59,0,
732,2023-01-17 02:26:31,0,1
733,2023-03-20 11:44:09,0,
734,2023-10-25 14:30:50,0,3
735,2023-09-26 05:46:13,0,1
736,2023-07-23 16:46:22,0,2
737,2023-03-16 12:07:11,0,2
738,2023-05-08 22:25:02,0,1
739,2023-03-13 18:05:26,0,1
740,2023-03-08 09:24:00,0,2
741,2022-12-11 00:03:45,0,2
742,2023-03-10 11:54:41,0,1
743,2023-06-15 08:26:19,0,1
744,2023-04-26 12:48:10,0,3
745,2023-06-24 03:04:58,0,
